iter	MultiClass
0	1.593418135
1	1.57776043
2	1.564747691
3	1.551570004
4	1.53794035
5	1.524237192
6	1.510771939
7	1.498407398
8	1.485140783
9	1.472772523
10	1.461801618
11	1.449183091
12	1.437350365
13	1.42631394
14	1.414791969
15	1.404100206
16	1.392634894
17	1.382932601
18	1.372006762
19	1.36361935
20	1.353033907
21	1.343483545
22	1.334307271
23	1.3242135
24	1.315449595
25	1.306274195
26	1.297926161
27	1.288577938
28	1.279581268
29	1.270008921
30	1.262555522
31	1.254070979
32	1.245988306
33	1.236543936
34	1.23013251
35	1.222577386
36	1.214610438
37	1.206371786
38	1.198574271
39	1.191916626
40	1.185034311
41	1.177693466
42	1.172273369
43	1.165268983
44	1.158543741
45	1.151291058
46	1.144203104
47	1.137647184
48	1.132318531
49	1.125157291
50	1.119145
51	1.113202057
52	1.106938735
53	1.101258199
54	1.095416982
55	1.090124205
56	1.084003189
57	1.077853514
58	1.072359256
59	1.06611059
60	1.060316735
61	1.055946377
62	1.050958777
63	1.045885749
64	1.04058105
65	1.036270087
66	1.031255469
67	1.026705397
68	1.021338131
69	1.016540309
70	1.011746314
71	1.007230588
72	1.003112902
73	0.9989686371
74	0.9948122305
75	0.9902228899
76	0.9854303175
77	0.9811924213
78	0.9764984021
79	0.972913954
80	0.9682373266
81	0.9643462807
82	0.9598456489
83	0.9555627966
84	0.9510762751
85	0.9469146182
86	0.9432221006
87	0.9390941333
88	0.9353881617
89	0.931280977
90	0.9280544267
91	0.9244136468
92	0.9209186732
93	0.9172399377
94	0.9135566629
95	0.9090816812
96	0.9057449833
97	0.9026025478
98	0.8992890389
99	0.8954817796
100	0.8924008168
101	0.8897099102
102	0.8862787609
103	0.8827173377
104	0.8800934822
105	0.876263034
106	0.8736763137
107	0.8707005217
108	0.8676130507
109	0.8646320083
110	0.8617588713
111	0.8583801707
112	0.8553724938
113	0.8531622118
114	0.8505579357
115	0.8482570306
116	0.8458577365
117	0.8429602073
118	0.8397559163
119	0.8369033978
120	0.8345423326
121	0.8314315085
122	0.8291037501
123	0.8265246866
124	0.82350104
125	0.8212314182
126	0.8189177154
127	0.8162376923
128	0.8139894547
129	0.8110639237
130	0.8085579821
131	0.8058939835
132	0.8033862917
133	0.8011216468
134	0.7993875592
135	0.7974294027
136	0.7952585528
137	0.7930737567
138	0.790953496
139	0.7889381327
140	0.7866160622
141	0.7841444118
142	0.7818333342
143	0.7794388528
144	0.7770275813
145	0.7745844797
146	0.772774481
147	0.7709477469
148	0.7690548914
149	0.7663521715
150	0.7646158417
151	0.7623660727
152	0.760292354
153	0.7589765432
154	0.7570457869
155	0.7550006169
156	0.7530585395
157	0.7509324816
158	0.7489580271
159	0.7474816982
160	0.7456429868
161	0.7434223134
162	0.7412793013
163	0.7392411864
164	0.7381068404
165	0.7362528702
166	0.7347565244
167	0.7324416731
168	0.7311718575
169	0.7283600838
170	0.7264274132
171	0.724681239
172	0.7223893032
173	0.720681358
174	0.7184860065
175	0.7169511583
176	0.7154366004
177	0.7135957014
178	0.7123383006
179	0.7102583472
180	0.7089670926
181	0.7069800592
182	0.7052680122
183	0.7038009261
184	0.7024973114
185	0.7009410243
186	0.6987625177
187	0.6975561983
188	0.6962069713
189	0.6948657839
190	0.6924759513
191	0.6908693485
192	0.6894612193
193	0.6878016756
194	0.686140163
195	0.6840965791
196	0.6822281704
197	0.6809971307
198	0.6793816679
199	0.6779401225
200	0.6762643903
201	0.6744358514
202	0.6729416386
203	0.6709589257
204	0.6692472615
205	0.6678611181
206	0.6664284874
207	0.6651232319
208	0.6639625249
209	0.662355047
210	0.6609703802
211	0.6594914262
212	0.6581619427
213	0.6566002412
214	0.6546630312
215	0.6528585564
216	0.6516504869
217	0.6504104778
218	0.6487008919
219	0.6475044715
220	0.6462196706
221	0.6444217586
222	0.6435124114
223	0.6424714229
224	0.6408793678
225	0.6390884563
226	0.6377836932
227	0.6361930601
