iter	Passed	Remaining
0	37	186224
1	73	184170
2	109	181974
3	138	172674
4	168	168047
5	198	165126
6	227	162464
7	256	160362
8	286	158683
9	311	155282
10	339	153774
11	366	152384
12	394	151354
13	421	150206
14	447	148792
15	475	147969
16	502	147392
17	536	148462
18	569	149204
19	602	149932
20	638	151364
21	670	151696
22	696	150755
23	724	150124
24	754	150123
25	782	149637
26	808	148984
27	834	148170
28	861	147604
29	887	147051
30	915	146699
31	941	146221
32	969	145941
33	994	145242
34	1020	144832
35	1050	144807
36	1077	144479
37	1103	144098
38	1132	143998
39	1158	143626
40	1185	143335
41	1213	143232
42	1241	143076
43	1270	143156
44	1296	142801
45	1326	142816
46	1353	142659
47	1379	142367
48	1408	142279
49	1435	142105
50	1464	142122
51	1490	141807
52	1517	141689
53	1547	141714
54	1576	141748
55	1603	141524
56	1632	141546
57	1662	141660
58	1687	141293
59	1715	141261
60	1741	141040
61	1770	141023
62	1797	140844
63	1821	140493
64	1849	140412
65	1876	140264
66	1904	140201
67	1932	140177
68	1959	140021
69	1984	139764
70	2010	139600
71	2036	139397
72	2063	139279
73	2090	139134
74	2116	138984
75	2141	138757
76	2168	138621
77	2194	138503
78	2222	138425
79	2248	138287
80	2274	138149
81	2300	137944
82	2328	137948
83	2354	137793
84	2380	137673
85	2405	137452
86	2432	137365
87	2457	137174
88	2484	137078
89	2512	137092
90	2541	137074
91	2568	136997
92	2591	136756
93	2616	136580
94	2644	136560
95	2672	136541
96	2700	136522
97	2725	136354
98	2750	136165
99	2777	136114
100	2805	136077
101	2834	136110
102	2861	136054
103	2889	136012
104	2913	135822
105	2939	135724
106	2964	135574
107	2989	135417
108	3017	135388
109	3042	135268
110	3069	135180
111	3097	135198
112	3124	135146
113	3152	135114
114	3178	135014
115	3203	134883
116	3228	134736
117	3255	134698
118	3281	134591
119	3306	134474
120	3332	134391
121	3359	134310
122	3385	134244
123	3411	134139
124	3437	134065
125	3464	134010
126	3490	133944
127	3516	133835
128	3541	133744
129	3569	133700
130	3595	133630
131	3624	133650
132	3654	133717
133	3679	133623
134	3704	133512
135	3729	133385
136	3752	133213
137	3778	133134
138	3803	133013
139	3829	132921
140	3856	132882
141	3880	132762
142	3905	132647
143	3933	132634
144	3959	132565
145	3988	132596
146	4014	132520
147	4038	132388
148	4064	132327
149	4089	132220
150	4113	132104
151	4140	132068
152	4166	131978
153	4193	131944
154	4218	131875
155	4244	131791
156	4270	131748
157	4298	131714
158	4324	131664
159	4349	131577
160	4375	131514
161	4401	131449
162	4427	131370
163	4453	131333
164	4478	131243
165	4504	131184
166	4531	131136
167	4557	131083
168	4581	130967
169	4610	130999
170	4641	131064
171	4670	131103
172	4697	131072
173	4723	131017
174	4749	130955
175	4774	130863
176	4798	130763
177	4824	130686
178	4847	130569
179	4875	130562
180	4902	130532
181	4929	130498
182	4954	130412
183	4982	130405
184	5006	130304
185	5031	130216
186	5055	130125
187	5079	130014
188	5105	129959
189	5131	129896
190	5158	129879
191	5185	129861
192	5212	129831
193	5238	129766
194	5262	129674
195	5289	129658
196	5320	129714
197	5345	129632
198	5369	129534
199	5395	129503
200	5422	129472
201	5448	129425
202	5475	129390
203	5502	129353
204	5527	129278
205	5552	129218
206	5577	129146
207	5604	129124
208	5632	129127
209	5659	129093
210	5686	129058
211	5712	129012
212	5737	128948
213	5764	128910
214	5792	128910
215	5821	128924
216	5846	128876
217	5872	128827
218	5899	128794
219	5925	128741
220	5950	128667
221	5976	128631
222	6000	128542
223	6025	128477
224	6051	128428
225	6076	128365
226	6103	128340
227	6130	128301
228	6154	128226
229	6183	128233
230	6209	128203
231	6236	128162
232	6262	128128
233	6289	128094
234	6314	128045
235	6344	128080
236	6374	128117
237	6401	128079
238	6426	128026
239	6454	128014
240	6482	128014
241	6509	127974
242	6532	127882
243	6557	127812
244	6582	127761
245	6612	127790
246	6659	128143
247	6692	128243
248	6724	128307
249	6756	128372
250	6784	128357
251	6810	128311
252	6837	128288
253	6865	128273
254	6893	128265
255	6922	128281
256	6953	128323
257	6979	128291
258	7010	128328
259	7037	128305
260	7063	128244
261	7088	128191
262	7114	128150
263	7139	128074
264	7163	127997
265	7189	127958
266	7214	127885
267	7242	127880
268	7267	127810
269	7293	127777
270	7320	127745
271	7349	127747
272	7374	127692
273	7399	127632
274	7424	127574
275	7451	127535
276	7477	127491
277	7503	127450
278	7527	127376
279	7552	127317
280	7578	127263
281	7607	127278
282	7640	127347
283	7669	127355
284	7696	127333
285	7723	127310
286	7751	127284
287	7776	127229
288	7802	127183
289	7827	127128
290	7853	127084
291	7878	127033
292	7903	126969
293	7930	126935
294	7957	126917
295	7983	126869
296	8011	126866
297	8039	126856
298	8065	126809
299	8089	126737
300	8115	126695
301	8140	126635
302	8165	126578
303	8190	126519
304	8215	126467
305	8240	126408
306	8266	126371
307	8293	126335
308	8318	126281
309	8347	126284
310	8371	126224
311	8397	126184
312	8421	126109
313	8447	126064
314	8472	126011
315	8496	125947
316	8524	125931
317	8548	125864
318	8573	125804
319	8599	125765
320	8628	125765
321	8654	125727
322	8679	125680
323	8704	125623
324	8731	125598
325	8757	125556
326	8786	125566
327	8812	125528
328	8836	125461
329	8862	125423
330	8889	125399
331	8916	125365
332	8941	125320
333	8968	125284
334	8995	125270
335	9022	125239
336	9050	125231
337	9078	125216
338	9106	125203
339	9131	125153
340	9156	125109
341	9181	125052
342	9208	125027
343	9235	125005
344	9260	124956
345	9285	124894
346	9311	124855
347	9336	124805
348	9360	124746
349	9386	124707
350	9415	124703
351	9443	124700
352	9470	124674
353	9497	124642
354	9521	124588
355	9546	124532
356	9571	124483
357	9596	124428
358	9622	124399
359	9649	124375
360	9679	124382
361	9704	124340
362	9729	124283
363	9754	124234
364	9779	124185
365	9809	124193
366	9833	124131
367	9860	124110
368	9885	124066
369	9910	124015
370	9936	123977
371	9960	123914
372	9987	123887
373	10013	123854
374	10041	123844
375	10067	123806
376	10091	123753
377	10117	123712
378	10142	123657
379	10167	123610
380	10192	123565
381	10217	123516
382	10244	123492
383	10269	123448
384	10296	123418
385	10319	123347
386	10343	123291
387	10369	123259
388	10398	123258
389	10425	123235
390	10450	123183
391	10480	123195
392	10505	123149
393	10531	123121
394	10560	123121
395	10586	123085
396	10612	123044
397	10642	123057
398	10669	123034
399	10697	123021
400	10724	122993
401	10750	122960
402	10775	122910
403	10799	122857
404	10823	122799
405	10850	122775
406	10875	122734
407	10900	122687
408	10924	122629
409	10949	122583
410	10976	122556
411	11000	122500
412	11028	122491
413	11056	122476
414	11081	122432
415	11106	122381
416	11134	122369
417	11158	122319
418	11183	122270
419	11208	122228
420	11234	122196
421	11259	122147
422	11285	122109
423	11311	122076
424	11338	122054
425	11364	122021
426	11388	121968
427	11414	121930
428	11437	121870
429	11464	121842
